domain,time
Ancient Watchtower,0:31
Blazing Ruins,0:59
Cecilia Garden,0:39
City of Gold,
Clear Pool and Mountain Cavern,
Court of Flowing Sand,
Denouement of Sin,
Derelict Masonry Dock,
Domain of Guyun,
Echoes of the Deep Tides,1:04
Faded Theater,
Forsaken Rift,
Hidden Palace of Lianshan Formula,0:43
Hidden Palace of Zhou Formula,0:48  
Midsummer Courtyard,
Molten Iron Fortress,
Momiji-Dyed Court,
Pale Forgotten Glory,1:07
Ridge Watch,
Sanctum of Rainbow and Spirits,0:33
Slumbering Court,
Spire of Solitary Enlightenment,
Steeple of Ignorance,0:57
Taishan Mansion,0:30
The Lost Valley,
Tower of Abject Pride,0:33
Valley of Remembrance,
Violet Court,1:00
Waterfall Wen,1:19