domain,talent_material,character,days
Forsaken Rift,Freedom Books,Aloy & Amber & Barbara & Diona & Klee & Sucrose & Tartaglia,Mon & Thu & Sun 
Forsaken Rift,Resistance Books,Bennett & Diluc & Eula & Jean & Mona & Noelle & Razor,Tue & Fri & Sun 
Forsaken Rift,Ballad Books,Albedo & Fischl & Kaeya & Lisa & Mika & Rosaria & Venti,Wed & Sat & Sun
Taishan Mansion,Prosperity Books,Gaming & Keqing & Ningguang & Qiqi & Shenhe & Xiao & Yelan,Mon & Thu & Sun
Taishan Mansion,Diligence Books,Chongyun & Chongyun & Ganyu & Hu Tao & Kaedehara Kazuha & Xiangling & Yaoyao & Yun Jin,Tue & Fri & Sun
Taishan Mansion,Gold Books,Baizhu & Beidou & Xianyun & Xingqiu & Xinyan & Yanfei & Zhongli,Wed & Sat & Sun 
Violet Court,Transcience Books,Kirara & Kokomi & Heizou & Thoma & Yoimiya,Mon & Thu & Sun
Violet Court,Elegance Books,Itto & Ayaka & Ayato & Kujo Sara & Shinobu,Tue & Fri & Sun
Violet Court,Light Books,Chiori & Gorou & Raiden & Sayu & Yae Miko,Wed & Sat & Sun
Steeple of Ignorance,Admonition Books,Cyno & Candace & Faruzan & Tighnari,Mon & Thu & Sun
Steeple of Ignorance,Ingenuity Books,Alhaitham & Dori & Kaveh & Layla & Nahida,Tue & Fri & Sun
Steeple of Ignorance,Praxis Books,Collei & Dehya & Nilou & Wanderer,Wed & Sat & Sun
Violet Court,Equity Books,Lyney & Navia & Neuvillette,Mon & Thu & Sun
Violet Court,Justice Books,Chatlotte & Freminet & Furina,Tue & Fri & Sun
Violet Court,Order Books,Arlecchino & Chevreuse & Lynette & Wriothesley,Wed & Sat & Sun